Team,OVA
Liverpool,85
Manchester City,85
Chelsea,84
Manchester United,83
Tottenham Hotspur,81
Arsenal,80
Leicester City,80
West Ham United,79
Aston Villa,78
Everton,78
Wolverhampton Wanderers,78
Newcastle United,77
Burnley,76
Crystal Palace,76
Leeds United,76
Brighton & Hove Albion,76
Southampton,76
Watford,74
Brentford,74
Fulham,74
Norwich City,73
Sheffield United,73
AFC Bournemouth,73
Blackburn Rovers,71
Nottingham Forest,71
Queens Park Rangers,71
West Bromwich Albion,71
Reading,70
Coventry City,70
Preston North End,70
Middlesbrough,70
Stoke City,70
Millwall,70
Huddersfield Town,70
Swansea City,70
Birmingham City,69
Bristol City,69
Luton Town,69
Cardiff City,69
Derby County,68
Barnsley,68
Hull City,68
Blackpool,67
Peterborough United,67
